"","Site","RCP","Variable","Differences","Estimate","LandUse"
"276","Lon","rcp45","DO",-0.337550792114696,"upper","agri"
"277","Caver","rcp26","DO",-0.104186354838713,"upper","agri"
"278","Caver","rcp45","DO",-0.347831315412173,"upper","agri"
"279","Egham","rcp26","DO",-0.0273923082437264,"upper","agri"
"280","Egham","rcp45","DO",-0.194984390681007,"upper","agri"
"281","Crick","rcp26","Ni",0.5328408781362,"upper","agri"
"282","Crick","rcp45","Ni",0.4648679390681,"upper","agri"
"283","Ox","rcp26","Ni",0.261874435483867,"upper","agri"
"284","Ox","rcp45","Ni",0.139860290322577,"upper","agri"
"285","Lon","rcp26","Ni",0.219171308243726,"upper","agri"
"286","Lon","rcp45","Ni",0.148903455197133,"upper","agri"
"287","Caver","rcp26","Ni",0.163838525089607,"upper","agri"
"288","Caver","rcp45","Ni",0.0438028064516098,"upper","agri"
"289","Egham","rcp26","Ni",0.170209370967743,"upper","agri"
"290","Egham","rcp45","Ni",0.0728317526881736,"upper","agri"
"291","Crick","rcp26","Am",-0.0003958171684588,"upper","agri"
"292","Crick","rcp45","Am",-0.00197671501792117,"upper","agri"
"293","Ox","rcp26","Am",-0.000176842956989266,"upper","agri"
"294","Ox","rcp45","Am",-0.00128185311827957,"upper","agri"
"295","Lon","rcp26","Am",0.0177168074193547,"upper","agri"
"296","Lon","rcp45","Am",0.0196840977060928,"upper","agri"
"297","Caver","rcp26","Am",-0.00116456177419353,"upper","agri"
"298","Caver","rcp45","Am",-0.00319849752688173,"upper","agri"
"299","Egham","rcp26","Am",0.00228972322580646,"upper","agri"
"300","Egham","rcp45","Am",0.0014005871684588,"upper","agri"
"301","Crick","rcp26","flow",-1.34317127526882,"lower","agri"
"302","Crick","rcp45","flow",-1.4986372125448,"lower","agri"
"303","Ox","rcp26","flow",-5.0688033799283,"lower","agri"
"304","Ox","rcp45","flow",-5.6813428924731,"lower","agri"
"305","Lon","rcp26","flow",-23.60398,"lower","agri"
"306","Lon","rcp45","flow",-26.5357801433691,"lower","agri"
"307","Caver","rcp45","flow",-12.3311768888889,"lower","agri"
"308","Caver","rcp26","flow",-10.9939510286738,"lower","agri"
"309","Egham","rcp26","flow",-19.3813972401434,"lower","agri"
"310","Egham","rcp45","flow",-21.800963655914,"lower","agri"
"311","Crick","rcp26","temp",0.2815385842294,"lower","agri"
"312","Crick","rcp45","temp",1.20355605734767,"lower","agri"
"313","Ox","rcp26","temp",0.2815385842294,"lower","agri"
"314","Ox","rcp45","temp",1.20355605734767,"lower","agri"
"315","Lon","rcp26","temp",0.2815385842294,"lower","agri"
"316","Lon","rcp45","temp",1.20355605734767,"lower","agri"
"317","Caver","rcp26","temp",0.2815385842294,"lower","agri"
"318","Caver","rcp45","temp",1.20355605734767,"lower","agri"
"319","Egham","rcp26","temp",0.2815385842294,"lower","agri"
"320","Egham","rcp45","temp",1.20355605734767,"lower","agri"
"321","Crick","rcp26","P",0.00876850261648698,"lower","agri"
"322","Crick","rcp45","P",0.011024151612903,"lower","agri"
"323","Ox","rcp26","P",0.002862928888889,"lower","agri"
"324","Ox","rcp45","P",0.004338699820788,"lower","agri"
"325","Lon","rcp26","P",0.00718551433691768,"lower","agri"
"326","Lon","rcp45","P",0.0122043426523294,"lower","agri"
"327","Caver","rcp26","P",0.00425689028673868,"lower","agri"
"328","Caver","rcp45","P",0.00703571569892502,"lower","agri"
"329","Egham","rcp26","P",0.00604768946236566,"lower","agri"
"330","Egham","rcp45","P",0.010196884551971,"lower","agri"
"331","Crick","rcp26","DO",-0.896089767025073,"lower","agri"
"332","Crick","rcp45","DO",-1.38542716487453,"lower","agri"
"333","Ox","rcp26","DO",-0.80261915770609,"lower","agri"
"334","Ox","rcp45","DO",-1.29906211827957,"lower","agri"
"335","Lon","rcp26","DO",-0.896810168458783,"lower","agri"
"336","Lon","rcp45","DO",-1.45132516129033,"lower","agri"
"337","Caver","rcp26","DO",-0.93303101792114,"lower","agri"
"338","Caver","rcp45","DO",-1.49765607885304,"lower","agri"
"339","Egham","rcp26","DO",-0.66835612544803,"lower","agri"
"340","Egham","rcp45","DO",-1.11064784229391,"lower","agri"
"341","Crick","rcp26","Ni",0.115030415770607,"lower","agri"
"342","Crick","rcp45","Ni",-0.141440193548386,"lower","agri"
"343","Ox","rcp26","Ni",-0.287934249103943,"lower","agri"
